Title,Num_Of_Prev_Drops,Whitepaper,Requirement_Count,Guide_Length,Social_Media_Count,is_scam
Saddle Finance,1,1,0,10,6,0
DexGuru,0,1,0,7,5,0
ParaSwap,1,1,0,20,7,0
Matcha,0,0,0,7,4,0
Solanart,0,0,0,5,3,0
Foundation,0,0,0,5,2,0
Digital Arms,0,1,1,6,5,0
Gro Protocol,0,1,0,7,9,0
Gridlock,1,0,1,12,5,0
Paladin,0,1,0,6,5,0
Apricot Finance,0,1,0,5,6,0
Sologenic,0,1,0,7,8,0
TerraFloki,0,1,0,10,5,0
DeFi Saver,0,0,0,5,5,0
OneOf,0,0,1,5,7,0
Zerion,0,0,0,7,7,0
BitYard,1,0,2,12,6,0
Zapper,0,1,0,6,4,0
HUMAN Protocol,0,1,1,8,9,0
Gaia EverWorld,1,0,0,11,5,0
Sportemon Go,0,1,1,4,7,0
Yield Protocol,0,1,0,5,4,0
Cozy Finance,0,1,0,5,3,0
Timeswap,0,1,0,7,5,0
Terra Land,0,0,0,7,8,0
Opyn,0,0,0,7,4,0
Symmetry,0,0,0,5,5,0
Apollo DAO,0,0,0,6,4,0
Solend,0,1,0,5,4,0
Terraswap,0,1,0,5,3,0
Talis Protocol,0,1,0,6,4,0
Flare Finance,1,1,0,13,6,0
Polymarket,0,1,0,5,5,0
zkSync,0,1,0,18,6,0
Valkyrie Protocol,0,1,0,14,4,0
Slingshot,0,0,0,6,3,0
OpenSea,0,1,0,5,6,0
Shade Protocol,0,1,0,11,5,0
Roco Finance,0,1,2,6,9,0
Nexo,0,1,2,7,10,0
Backd,0,1,0,5,7,0
Loop,0,1,0,9,3,0
Metamask,0,1,0,10,4,0
Nexus Protocol,0,1,0,7,5,0
Boba Network,0,0,0,8,5,0
Portuma,0,1,1,6,6,0
BrightID,0,1,0,15,6,0
InPoker,0,1,3,12,8,0
Adshares,0,1,2,6,7,0
Thales,0,1,0,14,7,0
Foil Network,0,1,4,8,8,0
Songbird,0,0,0,9,1,0
Tokel,0,1,0,8,9,0
BullionFX,0,0,3,10,7,0
Juno,0,1,0,8,7,0
Bitget,0,0,3,6,8,0
Remitano,0,1,2,6,5,0
Angel Protocol,0,0,0,7,6,0
StarTerra,0,1,0,22,5,0
Blockasset,0,0,1,3,6,0
SuperRare,0,1,0,9,9,0
HAI DAMO,0,1,0,4,5,0
Sunny,0,0,0,10,3,0
WEYU,1,1,2,19,5,0
dYdX,0,1,0,8,6,0
DFyn,0,1,0,7,8,0
Notional,0,1,0,7,5,0
Altair,0,0,0,6,3,0
EmiSwap,0,1,3,21,8,0
ShapeShift,1,1,0,19,10,0
THORSwap,0,0,0,5,5,0
VoltNFT,0,0,1,8,7,0
OpenOcean,0,1,0,8,8,0
NFTb,0,0,0,9,9,0
hi,0,1,1,11,7,0
TAP,0,1,3,7,8,0
Moonbet,0,1,2,4,8,0
Spar Finance,0,0,0,7,7,0
Connect Financial,0,0,0,5,5,0
Osmosis,0,0,0,14,5,0
Pylon Protocol,0,0,0,5,4,0
GemBites,0,1,1,8,4,0
EarnBet,0,0,4,12,10,0
Orion Money,0,0,0,7,6,0
Omni,0,1,3,7,6,0
EmiSwap,0,1,1,9,8,0
Instadapp,0,1,0,10,5,0
Degen’s Farm,0,1,0,5,7,0
Blockster,0,1,1,8,6,0
Skyward Finance,0,1,0,12,4,0
MoonEdge,0,1,3,9,5,0
NEFTiPEDiA,0,1,4,7,8,0
Thorstarter,0,1,2,7,6,0
Arweave,1,1,1,13,10,0
APENFT,0,1,0,8,7,0
EasyBake,0,0,0,6,6,0
Honeyswap,0,0,0,8,8,0
Charged Particles,0,1,0,7,8,0
BarterTrade,0,0,3,5,7,0
Ribbon Finance,0,1,0,7,5,0
ZoidPay,0,1,0,5,6,0
QiSwap,1,1,0,16,9,0
Crypto Thrills,1,0,1,12,3,0
DoRen,0,1,5,6,6,0
SolPAD,0,1,2,9,6,0
Convex Finance,0,1,0,7,7,0
RunNode,0,1,2,8,4,0
Venus,0,1,0,7,4,0
ChainX,0,1,0,7,5,0
Solanium,0,1,2,9,6,0
Impermax Finance,0,1,0,6,10,0
Avalaunch,0,0,0,5,5,0
Etherlite,0,1,0,5,6,0
Badger DAO,1,0,0,14,10,0
Binance,1,1,1,29,9,0
DeversiFi,0,0,0,6,4,0
Bribe,0,0,0,6,5,0
SORA,0,0,0,6,11,0
Maiar Exchange,0,0,0,13,3,0
HOPR,0,1,1,9,10,0
Aladdin,0,0,2,6,5,0
KLOMP,0,0,2,5,4,0
NFTMart,0,1,2,6,4,0
LOTTO,0,0,0,10,9,0
1inch,0,0,0,15,10,0
UMA,0,1,0,12,8,0
VINE Protocol,0,1,4,8,5,0
Opensea Traders,0,0,0,6,1,0
Mofi Finance,0,1,4,10,6,0
POAP,0,0,0,6,6,0
Secret Network,0,1,0,6,10,0
Hydra,0,1,2,12,7,0
My Lotto Coin,0,1,2,8,6,0
Anchor Protocol,0,1,0,7,8,0
Graphene,0,0,0,7,5,0
Utile Network,2,1,3,22,7,0
Donnie Finance,1,1,0,14,7,0
Sperax,0,1,0,9,10,0
PoolTogether,0,1,0,7,9,0
Sifchain,0,1,0,12,6,0
Neutrino Protocol,0,1,0,7,9,0
Bounce,0,1,0,5,7,0
Invest & Hodl,0,1,3,7,5,0
Furucombo,0,1,0,12,9,0
Lido,0,1,0,6,7,0
Chainge,0,0,1,11,6,0
OnX Finance,0,1,0,8,6,0
MarcoPolo Protocol,2,1,2,26,9,0
Phala Network,0,1,0,13,9,0
Mirror Protocol,0,1,0,12,9,0
Numio,0,0,2,7,5,0
Flare,0,1,0,16,3,0
SocialGood,3,1,2,30,7,0
Metex,1,0,1,14,5,0
TomoChain,0,1,0,10,10,0
Audius,0,1,1,8,10,0
SwanFinance,0,0,1,8,7,0
Plutus,0,1,3,8,9,0
DIA,0,1,0,8,8,0
Permission,0,1,2,8,10,0
Massnet,0,1,3,8,6,0
Symbol,0,1,0,10,7,0
Bitcoin Rhodium,0,1,0,9,8,0
Intexcoin,0,1,3,5,6,0
GoodDollar,0,1,3,8,6,0
ARCS,0,1,2,5,7,0
DeFiChain,1,1,0,14,11,0
Cypherium,0,1,0,8,9,0
Handshake,0,1,1,14,7,0
Pcash,0,1,1,6,1,0
