airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
Paygine,3.00E-09,0,4.64E-09,1.49E-06,4.11E-09,1.09E-05,7.27E-07,0.000384981,FALSE
Ivy,0.00014358,0,4.16E-05,0.000595868,0.000325843,0.000771697,0.000589195,-0.173066521,FALSE
Binex.Trade,2.26E-07,0,2.63E-08,0.000202543,5.96E-07,0.000510842,0.000173535,-0.000939729,FALSE
Selfie GO,0,0,0,0,0,0,0,0,FALSE
Clash & GO,3.59E-08,0,1.09E-08,0.000105098,8.22E-08,9.78E-05,0.000107126,-0.000241813,FALSE
Miner Edge,6.77E-09,0,0,4.20E-05,1.64E-08,5.43E-05,4.12E-05,-0.00014951,FALSE
Keplertek,1.10E-07,0,7.66E-09,4.29E-05,2.05E-07,7.61E-05,4.31E-05,-0.002253646,FALSE
Ink,0.134899473,0,0.158110717,0.29029853,0.154759158,0.212771045,0.315848535,-0.036992123,FALSE
Kimera,0.001797535,0,0.00036383,0.000883909,0.001580575,0.00127167,0.001025699,-1.589503611,FALSE
Prime Ball,1.63E-05,0,1.45E-05,0.00042842,1.94E-05,0.000749959,0.000230249,-0.010745503,FALSE
Aitheon,3.61E-08,0,2.47E-08,9.71E-06,9.45E-08,4.35E-05,6.54E-06,-0.001611084,FALSE
TaTaTu,2.50E-06,0,8.73E-06,0.000591388,1.35E-05,0.00073909,0.000396271,0.006761627,FALSE
SupPorter,0.005272204,0,0.002827475,0.003803887,0.002023643,0.003869355,0.004215741,-0.748279729,FALSE
Neodium Network,0,0,0,0,0,0,0,0,FALSE
Acudeen,1.01E-07,0,0,3.75E-05,1.48E-07,6.52E-05,2.88E-05,-0.002493651,FALSE
EasyLoot,0,0,0,0,0,0,0,0,FALSE
VIMANA,0.000724003,0,0.000525922,0.000692193,0.001400646,0.001021684,0.000596224,-0.420732719,FALSE
DeNet,4.13E-07,0,1.10E-07,9.15E-05,6.29E-07,0.000119559,4.44E-05,-0.003314874,FALSE
Goldma,6.05E-05,0,8.96E-05,0.00062275,7.33E-05,0.000184773,0.000733162,0.013976513,TRUE
Ommer,0.018579777,0,0.009484493,0.009197876,0.00784405,0.005412749,0.009827762,-1.128333208,FALSE
Viva Network,0,0,1.38E-08,6.16E-06,2.47E-08,3.26E-05,2.91E-06,0.001620912,FALSE
LeadRex,4.41E-09,0,2.82E-09,7.64E-05,3.29E-07,0.000184773,7.08E-05,-2.69E-05,FALSE
PO8,9.42E-08,0,2.22E-08,4.72E-05,1.56E-07,4.35E-05,4.58E-05,-0.001509418,FALSE
SmartMesh,1.10E-06,0,5.12E-07,2.89E-05,1.51E-06,3.26E-05,3.15E-05,-0.022379993,FALSE
ATN,0.000355099,0,0.000257449,0.002638098,0.000416303,0.000902125,0.003234152,-0.054280813,FALSE
Luna,0.003073623,0,0.003727021,0.013435597,0.004553104,0.017325145,0.012790947,-0.011500348,FALSE
Fenix,5.65E-06,0,6.55E-06,0.000462955,1.69E-05,0.000445628,0.000474071,-0.001075286,FALSE
SuccessLife,0,0,0,0,0,0,0,0,FALSE
Planport,1.99E-09,0,1.02E-09,1.85E-05,4.11E-09,2.17E-05,2.04E-05,-5.96E-05,FALSE
DateCoin,1.13E-08,0,0,3.32E-05,4.93E-08,4.35E-05,3.93E-05,-0.000316906,FALSE
ArchiCoin,0,0,0,0,0,0,0,0,FALSE
CryptoHIT,0,0,0,0,0,0,0,0,FALSE
JioJioMe,0,0,0,0,0,0,0,0,FALSE
Genexi,1.28E-06,0,1.41E-06,0.00042058,1.61E-06,0.00053258,0.000411055,-0.000405353,FALSE
mCoin,7.31E-05,0,0.000185144,0.001378972,0.000236686,0.001423836,0.001335203,0.047990718,TRUE
CONDA,0.001236539,0,0.000675381,0.008136439,0.000987886,0.005673605,0.007509031,-0.080960872,FALSE
Koumei,0.000911648,0,0.000596714,0.000979486,0.001554315,0.001239063,0.001103742,-0.422812843,FALSE
HODLit Network,6.17E-09,0,0,1.90E-05,8.22E-09,2.17E-05,2.23E-05,-0.00030092,FALSE
SKYFchain,7.65E-06,0,8.34E-08,0.00020329,6.33E-06,0.000402152,0.000209163,-0.034628439,FALSE
Coinyspace,9.26E-10,0,1.67E-06,1.14E-05,1.27E-06,7.61E-05,6.79E-06,0.106225793,TRUE
Fructus,3.40E-08,0,7.86E-07,0.000111819,5.26E-07,0.000173904,0.000110277,0.004803705,FALSE
Horizon,0.000465044,0,0.000702923,0.003490832,0.000381088,0.001228194,0.004218165,0.022134688,TRUE
