airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Clone,7956.921396,0,2764.824631,12460,117649,132,10592,-0.416701185,FALSE,10721.74603,74.21292554,0,25.78707446
Symbiotic,437244.0412,0,566052.5728,4475,5197311,175,3789,28.78402942,TRUE,1003296.614,43.58073526,0,56.41926474
SuperBoring,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Mocaverse,5.073431242,0,0.267022697,735,56,28,483,-0.006539331,FALSE,5.340453939,95,0,5
Allora,0,0,121.9981547,691,1346,7,651,0.176553046,TRUE,121.9981547,0,0,100
Jupiter,2043.920785,0,215.8894619,2568,20687,55,1950,-0.711850204,FALSE,2259.810247,90.44656682,0,9.553433177
Kroma,330.4265833,0,6.213017751,1261,714,38,558,-0.257108299,FALSE,336.6396011,98.15440081,0,1.84559919
Amphor,2.123142251,0,0,157,20,4,81,-0.013523199,FALSE,2.123142251,100,0,0
LI.FI,238.5180216,0,43.59688199,2741,831,83,2024,-0.071113148,FALSE,282.1149036,84.54640948,0,15.45359052
ZKcandy,0.503778338,0,0,18,2,1,7,-0.027987685,FALSE,0.503778338,100,0,0
Napier Finance,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Gate.io,45600.23734,0,20549.78224,12128,990124,327,8695,-2.065505863,FALSE,66150.01958,68.93457875,0,31.06542125
Sunrise,222.0140024,0,243.0849026,1134,1988,35,713,0.018581041,TRUE,465.0989049,47.73479361,0,52.26520639
DeBank,200.9034935,0,13.64247312,3127,890,80,2338,-0.0598852,FALSE,214.5459666,93.64123533,0,6.358764666
Rage Trade,5046.247227,0,46.55383822,627,30078,9,505,-7.973992646,FALSE,5092.801066,99.08588932,0,0.914110676
Zircuit,96.80476842,0,0.274725275,850,286,25,613,-0.113564757,FALSE,97.07949369,99.71700998,0,0.282990016
Super Champs,8.62828159,0,0,171,16,4,13,-0.050457787,FALSE,8.62828159,100,0,0
Injera,51.46058423,0,29.41176471,357,365,16,257,-0.061761399,FALSE,80.87234894,63.63186541,0,36.36813459
PredX,12.83826306,0,4.27942102,111,476,7,48,-0.077106685,FALSE,17.11768408,75,0,25
Units,16252.72527,0,8802.926917,29961,132564,329,24600,-0.248649856,FALSE,25055.65218,64.86650257,0,35.13349743
Camp Network,94.06750251,0,92.0945995,6706,4488,43,6290,-0.0002942,FALSE,186.162102,50.52988846,0,49.47011154
Rivalz Network,20.83493016,0,0,767,63,17,619,-0.027164185,FALSE,20.83493016,100,0,0
10K Dex,0,0,0.137978613,663,4,13,472,0.000208113,FALSE,0.137978613,0,0,100
squid,53901.01296,0,11690.19068,12402,464798,271,8831,-3.403549611,FALSE,65591.20364,82.1771975,0,17.8228025
GOAT Gaming,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Hybrid,14051.44888,0,1228.966227,12717,73744,178,10937,-1.008294618,FALSE,15280.41511,91.95724581,0,8.042754191
LazyOtter,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Zerion,1299.904851,0,0.305810398,1274,19111,8,1215,-1.020093439,FALSE,1300.210662,99.97647993,0,0.023520065
Chirp,4083.14826,0,3078.746909,3997,142040,106,3636,-0.251288804,FALSE,7161.895169,57.01211989,0,42.98788011
Zebra,34304.15317,0,99.8552822,2910,121878,55,1782,-11.75405426,FALSE,34404.00846,99.70975684,0,0.290243163
AI Gram,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Cog Finance,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
StakeStone,0,0,0.294985251,410,1,8,325,0.000719476,FALSE,0.294985251,0,0,100
Mantle,7128.580309,0,1022.343535,22713,71693,336,21291,-0.268843252,FALSE,8150.923844,87.45732932,0,12.54267068
Superposition,8.363568343,0,9.270015746,2295,1146,34,1766,0.000394966,FALSE,17.63358409,47.42976981,0,52.57023019
Symmetry Trade,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Adrena,6005.772869,0,5849.72635,6081,78782,79,3288,-0.025661325,FALSE,11855.49922,50.65811872,0,49.34188128
Movement,91341.21325,0,14342.485,38673,778926,380,33668,-1.991020305,FALSE,105683.6983,86.42885777,0,13.57114223
NX Finance,8.346369083,0,1.196996796,1025,186,26,748,-0.006974997,FALSE,9.543365878,87.45728906,0,12.54271094
Superposition Finance,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
ORA,987863.6457,0,480678.2291,536372,12300609,6007,454329,-0.945585185,FALSE,1468541.875,67.26833349,0,32.73166651
GammaSwap,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Unite,89929.66435,0,29428.37993,44543,2324420,640,38491,-1.358266943,FALSE,119358.0443,75.34445198,0,24.65554802
Shardeum,8.226468787,0,0,787,47,23,393,-0.010452946,FALSE,8.226468787,100,0,0
Echelon,2554.369463,0,2198.805429,996,32245,24,551,-0.356992002,FALSE,4753.174892,53.74027931,0,46.25972069
Rho Markets,174.5454545,0,29.09090909,1495,832,52,975,-0.09729401,FALSE,203.6363636,85.71428571,0,14.28571429
Rainbow,14837.39172,0,18620.84782,17369,225829,311,13584,0.21782809,TRUE,33458.23954,44.34600244,0,55.65399756
Zeta,858.9438091,0,299.56311,3453,4421,69,3028,-0.161998465,FALSE,1158.506919,74.14231153,0,25.85768847
Optopia,21.10106769,0,0,242,140,14,157,-0.087194495,FALSE,21.10106769,100,0,0
Blast,104252.22,0,61084.15529,31069,5580199,756,24937,-1.389425623,FALSE,165336.3753,63.05461808,0,36.94538192
Zeek Network,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Summer.fi,11.91650495,0,34.19689119,849,170,21,735,0.026243093,TRUE,46.11339614,25.8417422,0,74.1582578
Infinex,25.84066508,0,2.758714741,1856,456,36,1339,-0.012436396,FALSE,28.59937982,90.35393509,0,9.64606491
Mitosis,78.22334073,0,5.026620196,1851,378,42,1008,-0.03954442,FALSE,83.24996092,93.96201495,0,6.037985051
Sophon,2.4,0,2.4,388,39,14,186,0,FALSE,4.8,50,0,50
Voi Network,1022.053124,0,303.1578947,2064,7710,46,1414,-0.348301952,FALSE,1325.211019,77.12380214,0,22.87619786
nftperp,173.6577181,0,0.294985251,1126,623,21,435,-0.153963351,FALSE,173.9527034,99.83042215,0,0.169577848
Hyperlane,1264.093627,0,6.020645783,3211,2353,80,2097,-0.391800991,FALSE,1270.114273,99.52597605,0,0.474023945
NURI Exchange,0.232828871,0,0.232828871,92,2,1,77,0,FALSE,0.465657742,50,0,50
f(x) Protocol,1.15942029,0,0,54,4,2,43,-0.021470746,FALSE,1.15942029,100,0,0
The Backwoods,23778.71345,0,5033.450292,3041,148401,101,2337,-6.164177296,FALSE,28812.16374,82.53012048,0,17.46987952
Kinetix Finance,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Binance,204926.7339,0,70432.43215,135324,2698021,2370,96783,-0.993868802,FALSE,275359.166,74.42161335,0,25.57838665
LayerZero,240.3452136,0,14.11499931,4836,1111,102,3789,-0.046780441,FALSE,254.4602129,94.45296412,0,5.547035881
EigenLayer,1925.518837,0,2656.633239,8250,7706,189,5865,0.088619928,TRUE,4582.152077,42.0221504,0,57.9778496
Vest,1163464.823,0,916231.328,748731,17628392,9165,618500,-0.330203364,FALSE,2079696.151,55.94398117,0,44.05601883
Koi Finance,189.7962096,0,11.57620986,2107,1009,53,1744,-0.084584717,FALSE,201.3724195,94.25134291,0,5.748657086
100x,29626.5728,0,21943.67833,54975,389579,329,48354,-0.139752514,FALSE,51570.25113,57.44895972,0,42.55104028
DEGEN WAR$,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Cherry,7064.438948,0,6217.237553,5303,79335,72,4221,-0.15975889,FALSE,13281.6765,53.18936165,0,46.81063835
Zest Protocol,5.213833774,0,0,79,23,4,47,-0.065997896,FALSE,5.213833774,100,0,0
Catalyst,12432.71848,0,3011.912958,10209,120927,206,7692,-0.922794154,FALSE,15444.63144,80.49864142,0,19.50135858
Renzo,64.91412442,0,4.629247639,1167,886,39,619,-0.051657992,FALSE,69.54337206,93.34336616,0,6.656633841
Mercle,3.374477354,0,0,271,22,9,181,-0.012451946,FALSE,3.374477354,100,0,0
GriffinAI,0.793650794,0,0,56,6,3,29,-0.014172336,FALSE,0.793650794,100,0,0
Captain & Company,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
IoTeX,75.9093736,0,15.33835866,5717,1251,176,4054,-0.010594895,FALSE,91.24773226,83.19042207,0,16.80957793
Orderly Network,60.37735849,0,11.32075472,923,300,28,668,-0.053149083,FALSE,71.69811321,84.21052632,0,15.78947368
Sui,164049.627,0,111767.2872,141047,2383910,1486,109660,-0.370673178,FALSE,275816.9142,59.47772545,0,40.52227455
CoChilli,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
Fhenix,96.33027523,0,0,698,483,23,399,-0.13800899,FALSE,96.33027523,100,0,0
Avantis,662.5924493,0,256.3365826,6151,3960,126,5267,-0.066047125,FALSE,918.929032,72.10485536,0,27.89514464
deBridge,30.65380493,0,58.52090032,662,442,17,475,0.04209531,TRUE,89.17470525,34.375,0,65.625
Aethir,8222.992158,0,984.1028517,1869,20243,59,979,-3.873134996,FALSE,9207.09501,89.31147283,0,10.68852717
Glyph,2981.853358,0,0,776,22930,21,529,-3.842594533,FALSE,2981.853358,100,0,0
0xAstra,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
SOFA,3341.203126,0,8418.722448,3463,57846,77,2615,1.466219845,TRUE,11759.92557,28.41177102,0,71.58822898
ZKsync,9511.908637,0,1239.2028,34838,60405,832,25166,-0.237462134,FALSE,10751.11144,88.47372379,0,11.52627621
Taiko,893.8854945,0,313.8283306,3679,5225,101,3037,-0.157667074,FALSE,1207.713825,74.01467764,0,25.98532236
Revert,8162.637839,0,4603.639588,20712,104897,250,18662,-0.171832669,FALSE,12766.27743,63.93906043,0,36.06093957
Nexis Network,0.664451827,0,0,42,1,1,32,-0.015820282,FALSE,0.664451827,100,0,0
Bitflow,3.757748581,0,1.01010101,516,37,12,432,-0.005324898,FALSE,4.767849591,78.81432728,0,21.18567272
KIP Protocol,21.61208268,0,0.775193798,333,67,4,289,-0.06257324,FALSE,22.38727648,96.53734656,0,3.462653437
Dunes,2233.897279,0,5365.34761,5916,22112,134,5219,0.529318852,TRUE,7599.24489,29.39630597,0,70.60369403
Biokript,4.736971929,0,0,108,25,3,95,-0.043860851,FALSE,4.736971929,100,0,0
D8X,5.897771953,0,0.786369594,1126,26,19,1050,-0.004539434,FALSE,6.684141547,88.23529412,0,11.76470588
Fuel,42180.31401,0,16936.39706,65522,453345,301,60588,-0.385273907,FALSE,59116.71107,71.35091457,0,28.64908543
RIZE,97259.42506,0,46249.68916,89103,1251597,661,80419,-0.572480566,FALSE,143509.1142,67.77229836,0,32.22770164
Jigsaw,1224.459522,0,35.0531401,1007,14705,34,671,-1.181138413,FALSE,1259.512662,97.21692833,0,2.783071671
Turtle Club,54270.43301,0,23461.26764,4306,2151822,164,2623,-7.154938545,FALSE,77731.70065,69.81763239,0,30.18236761
Rivo.xyz,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
GM Network,400.5951888,0,206.768721,2106,6151,43,1711,-0.09203536,FALSE,607.3639098,65.9563702,0,34.0436298
Pocket Protector,3694.768448,0,1953.937215,2443,195884,115,1898,-0.712579301,FALSE,5648.705663,65.40911614,0,34.59088386
Olive Network,0.624099856,0,0.624099856,138,13,1,116,0,FALSE,1.248199712,50,0,50
Zaros,5641.654343,0,1905.385456,7487,71154,144,6794,-0.499034178,FALSE,7547.039799,74.75320779,0,25.24679221
Avarik Saga,0.637959545,0,0.398470119,230,45,12,155,-0.001041258,FALSE,1.036429663,61.55357833,0,38.44642167
Forma,401714.897,0,164422.4521,391037,4963704,3641,348860,-0.606828625,FALSE,566137.3491,70.95714453,0,29.04285547
GaiaNet,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
ALIENX,1.223377223,0,0.923076923,84,12,6,31,-0.003575004,FALSE,2.146454146,56.99526474,0,43.00473526
