airdrop_name,positive,neutral,negative,total,total_words,positive_percentage,neutral_percentage,negative_percentage,scam_probability,is_scam
Scallop,5,1,0,6,528,83.33333333333334,16.666666666666664,0.0,-0.00946969696969697,False
SynFutures,1,1,0,2,298,50.0,50.0,0.0,-0.003355704697986577,False
StarryNift,0,0,0,0,229,0,0,0,0,False
Wormhole,10,9,3,22,3458,45.45454545454545,40.909090909090914,13.636363636363635,-0.0020242914979757085,False
Hava Coin,0,0,1,1,222,0.0,0.0,100.0,0.0045045045045045045,False
Battle Showdown: Gambit,0,0,0,0,19,0,0,0,0,False
Ethena,11,4,3,18,2690,61.111111111111114,22.22222222222222,16.666666666666664,-0.002973977695167286,False
Data Ownership Protocol,44,0,1,45,2760,97.77777777777777,0.0,2.2222222222222223,-0.015579710144927537,False
Pryzm,34,6,7,47,5707,72.3404255319149,12.76595744680851,14.893617021276595,-0.004731032065884002,False
COTI,4,10,9,23,4941,17.391304347826086,43.47826086956522,39.130434782608695,0.0010119409026512851,False
A51,3,0,0,3,380,100.0,0.0,0.0,-0.007894736842105263,False
ZKE Exchange,0,0,0,0,0,0,0,0,0,False
Sharpe,44,16,11,71,6081,61.97183098591549,22.535211267605636,15.492957746478872,-0.005426739023186976,False
Aries Markets,0,0,0,0,119,0,0,0,0,False
Elys Network,1,0,0,1,236,100.0,0.0,0.0,-0.00423728813559322,False
Haven1,12,0,0,12,320,100.0,0.0,0.0,-0.0375,False
Helix,20,9,9,38,9603,52.63157894736842,23.684210526315788,23.684210526315788,-0.001145475372279496,False
Kelp DAO,7,3,0,10,1006,70.0,30.0,0.0,-0.006958250497017893,False
mySwap,1,0,0,1,365,100.0,0.0,0.0,-0.0027397260273972603,False
Braavos,0,0,0,0,290,0,0,0,0,False
Tortuga Finance,0,0,0,0,0,0,0,0,0,False
BNB Chain,10,8,6,24,8983,41.66666666666667,33.33333333333333,25.0,-0.00044528553935210954,False
Aptin Finance,0,0,0,0,0,0,0,0,0,False
UniRouter,0,2,0,2,404,0.0,100.0,0.0,0.0,False
Bitget Wallet,31,7,12,50,6651,62.0,14.000000000000002,24.0,-0.002856713276199068,False
Aptos,18,6,7,31,8797,58.06451612903226,19.35483870967742,22.58064516129032,-0.0012504262816869388,False
beoble,2,0,0,2,164,100.0,0.0,0.0,-0.012195121951219513,False
Param Gaming,13,0,0,13,1015,100.0,0.0,0.0,-0.012807881773399015,False
XYRO,15,2,13,30,4334,50.0,6.666666666666667,43.333333333333336,-0.00046146746654360867,False
Plena,1,0,0,1,82,100.0,0.0,0.0,-0.012195121951219513,False
Polyhedra Network,13,3,1,17,2258,76.47058823529412,17.647058823529413,5.88235294117647,-0.005314437555358724,False
DFlow,0,0,0,0,722,0,0,0,0,False
zkLend,4,1,0,5,666,80.0,20.0,0.0,-0.006006006006006006,False
Defispot,2,0,4,6,1076,33.33333333333333,0.0,66.66666666666666,0.0018587360594795538,False
Boson Protocol,7,1,0,8,1183,87.5,12.5,0.0,-0.005917159763313609,False
Metis,10,2,0,12,2043,83.33333333333334,16.666666666666664,0.0,-0.004894762604013705,False
DistrictOne,2,0,0,2,259,100.0,0.0,0.0,-0.007722007722007722,False
Layer3,1,1,1,3,377,33.33333333333333,33.33333333333333,33.33333333333333,0.0,False
Entangle,16,17,4,37,6635,43.24324324324324,45.94594594594595,10.81081081081081,-0.001808590806330068,False
Panther Protocol,1,0,2,3,471,33.33333333333333,0.0,66.66666666666666,0.0021231422505307855,False
Memecoin,90,22,30,142,21119,63.38028169014085,15.492957746478872,21.12676056338028,-0.0028410436100194136,False
Teller,10,13,6,29,4926,34.48275862068966,44.827586206896555,20.689655172413794,-0.0008120178643930166,False
Gomble Games,0,0,0,0,0,0,0,0,0,False
Parallel Network,6,0,0,6,1640,100.0,0.0,0.0,-0.003658536585365854,False
Venom,29,3,1,33,3233,87.87878787878788,9.090909090909092,3.0303030303030303,-0.008660686668728735,False
SYNTHR,2,0,0,2,174,100.0,0.0,0.0,-0.011494252873563218,False
Wen Exchange,8,0,0,8,629,100.0,0.0,0.0,-0.012718600953895072,False
YOLO Games,5,0,2,7,1369,71.42857142857143,0.0,28.57142857142857,-0.002191380569758948,False
Lava,12,10,2,24,4686,50.0,41.66666666666667,8.333333333333332,-0.002134016218523261,False
InvArch,9,0,0,9,331,100.0,0.0,0.0,-0.027190332326283987,False
KiloEx,0,0,0,0,20,0,0,0,0,False
Hana Network,4,0,1,5,639,80.0,0.0,20.0,-0.004694835680751174,False
MetaStreet,1,0,0,1,419,100.0,0.0,0.0,-0.002386634844868735,False
NuLink,2,0,0,2,615,100.0,0.0,0.0,-0.0032520325203252032,False
Ambit Finance,7,1,1,9,588,77.77777777777779,11.11111111111111,11.11111111111111,-0.01020408163265306,False
Smart Layer,3,2,0,5,882,60.0,40.0,0.0,-0.003401360544217687,False
MON Protocol,7,0,0,7,749,100.0,0.0,0.0,-0.009345794392523364,False
Rio Network,0,0,0,0,0,0,0,0,0,False
Optimism,113,37,8,158,25514,71.51898734177216,23.417721518987342,5.063291139240507,-0.004115387630320608,False
Blaster,5,2,2,9,2541,55.55555555555556,22.22222222222222,22.22222222222222,-0.0011806375442739079,False
StarkNet,47,5,1,53,6947,88.67924528301887,9.433962264150944,1.8867924528301887,-0.0066215632647185834,False
AltLayer,2,0,0,2,415,100.0,0.0,0.0,-0.004819277108433735,False
Pixels,11,3,8,22,3174,50.0,13.636363636363635,36.36363636363637,-0.000945179584120983,False
Aftermath Finance,0,0,0,0,0,0,0,0,0,False
AVNU,4,0,1,5,1695,80.0,0.0,20.0,-0.0017699115044247787,False
Bluefin,32,15,4,51,6008,62.745098039215684,29.411764705882355,7.8431372549019605,-0.004660452729693742,False
Overlay Protocol,44,47,9,100,26970,44.0,47.0,9.0,-0.0012977382276603633,False
ClayStack,0,0,0,0,538,0,0,0,0,False
Retro Bridge,0,0,0,0,49,0,0,0,0,False
Dymension,1,1,0,2,1253,50.0,50.0,0.0,-0.0007980845969672786,False
INIT Capital,0,0,0,0,0,0,0,0,0,False
BÂ² Network,0,0,0,0,0,0,0,0,0,False
Pike,170,66,27,263,44499,64.63878326996198,25.09505703422053,10.26615969581749,-0.0032135553607946245,False
ZetaChain,6,1,0,7,992,85.71428571428571,14.285714285714285,0.0,-0.006048387096774193,False
Partisia Blockchain,1,0,0,1,435,100.0,0.0,0.0,-0.0022988505747126436,False
Aether,10,0,1,11,1584,90.9090909090909,0.0,9.090909090909092,-0.005681818181818182,False
Nostra,11,6,2,19,3665,57.89473684210527,31.57894736842105,10.526315789473683,-0.0024556616643929058,False
edeXa,0,0,0,0,25,0,0,0,0,False
Undeads,35,0,0,35,880,100.0,0.0,0.0,-0.03977272727272727,False
Aether Games,4,0,0,4,72,100.0,0.0,0.0,-0.05555555555555555,False
Dmail Network,3,0,0,3,156,100.0,0.0,0.0,-0.019230769230769232,False
Presearch,4,0,0,4,468,100.0,0.0,0.0,-0.008547008547008548,False
Bitcoin Virtual Machine,1,0,0,1,177,100.0,0.0,0.0,-0.005649717514124294,False
StackingDAO,3,2,0,5,1452,60.0,40.0,0.0,-0.002066115702479339,False
NAVI Protocol,3,1,1,5,141,60.0,20.0,20.0,-0.014184397163120567,False
Mind Network,67,22,23,112,16559,59.82142857142857,19.642857142857142,20.535714285714285,-0.0026571652877589226,False
XION,43,8,0,51,2643,84.31372549019608,15.686274509803921,0.0,-0.016269390843738175,False
Ready To Fight,7,2,1,10,3177,70.0,20.0,10.0,-0.0018885741265344666,False
BRC-20 DEX,0,0,0,0,10,0,0,0,0,False
Web3Go,1,0,0,1,75,100.0,0.0,0.0,-0.013333333333333334,False
eesee,0,0,0,0,191,0,0,0,0,False
Unigraph Protocol,0,0,0,0,0,0,0,0,0,False
Virtual Labs,0,0,0,0,0,0,0,0,0,False
Manta Network,5,0,0,5,1029,100.0,0.0,0.0,-0.004859086491739553,False
Sound.xyz,1,0,14,15,1526,6.666666666666667,0.0,93.33333333333333,0.00851900393184797,False
Reveel,9,1,4,14,2567,64.28571428571429,7.142857142857142,28.57142857142857,-0.0019477989871445266,False
CARV,51,11,9,71,7422,71.83098591549296,15.492957746478872,12.676056338028168,-0.005658852061438965,False
Swell,26,10,3,39,8093,66.66666666666666,25.64102564102564,7.6923076923076925,-0.0028419621895465217,False
Frame,161,101,45,307,59806,52.44299674267101,32.89902280130293,14.65798045602606,-0.001939604721934254,False
TeleportDAO,2,1,2,5,1646,40.0,20.0,40.0,0.0,False
Seamless Protocol,0,0,0,0,587,0,0,0,0,False
BRC20,8,3,2,13,1788,61.53846153846154,23.076923076923077,15.384615384615385,-0.003355704697986577,False
Kinza Finance,0,0,0,0,82,0,0,0,0,False
Elusiv,23,9,3,35,8521,65.71428571428571,25.71428571428571,8.571428571428571,-0.0023471423541837812,False
Marinade,3,1,0,4,883,75.0,25.0,0.0,-0.0033975084937712344,False
Jito,11,7,6,24,7544,45.83333333333333,29.166666666666668,25.0,-0.000662778366914104,False
Term Structure,23,2,4,29,5390,79.3103448275862,6.896551724137931,13.793103448275861,-0.0035250463821892395,False
Hinkal,0,0,0,0,323,0,0,0,0,False
Patex,7,0,0,7,802,100.0,0.0,0.0,-0.008728179551122194,False
Pyth Network,5,0,0,5,711,100.0,0.0,0.0,-0.007032348804500703,False
Meuna,1,0,0,1,144,100.0,0.0,0.0,-0.006944444444444444,False
Satori,2,0,2,4,1315,50.0,0.0,50.0,0.0,False
marginfi,1,0,0,1,217,100.0,0.0,0.0,-0.004608294930875576,False
Scroll Name Service,0,0,0,0,0,0,0,0,0,False
Aori,56,22,5,83,9681,67.46987951807229,26.506024096385545,6.024096385542169,-0.005268050821196158,False
GRVT,3,1,0,4,364,75.0,25.0,0.0,-0.008241758241758242,False
ShanHai,0,0,2,2,1341,0.0,0.0,100.0,0.0014914243102162564,False
Tezos Domains,0,0,0,0,124,0,0,0,0,False
Derivio,0,0,0,0,9,0,0,0,0,False
